,0
10,"This is a wonderful movie that everyone should watch! My two-year-old even loved it. It has great music, singing, dancing and acting. I could say more but just view it for yourself."
11,I love this movie!! So much Christmas magic and a beautiful story!! Yes i cried too
12,"I enjoyed this musical so much! I didn't know it was a musical but when they started to sing, the voices were so good ! Such a cute story reminding me of Neverending Story or The Princess Bride. The sets and costuming were top rate and of course Forrest Whitaker and P. Rashad! I love her sweet smile! Forrest is SUCH a great actor! Thanks everyone!"
13,"The diversity and talent of the cast and dancers, in combination with stunning production design, original animated transitions and world-building make Jingle Jangle the Christmas musical-fantasy classic unlike any other. Wow, David E. Talbert, wow."
14,"Amazing cast, visually stunning, & a unique story. It was a little long at 2 hours, but would absolutely recommend to others. A solid choice to add to your holiday line up each year."
15,"This was incredible! The story was so good, whether you're a kid or adult. Ignore what others say about trying too hard."
16,"Looks amazing, sounds fantastic; and the costumes are nothing short of glorious. But this film needs to head back to the cutting room and loose about 30 minutes.with John Legend as producer, it's no surprise that the voices are impressive. The musical numbers and choreography top notch.The combination of digital animation and live action is seamless.But this film feels heavy and by the end of it, we were carrying kids to bed."
17,"Great story line. Great actors. Beautiful staging with eye popping colors. Amazing singing and wonderful songs. Broadway on TV! I loved it. Not quite a Christmas movie, but What a great way to start the holiday season."
18,"Absolutely wonderful Christmas movie. The costumes and sets are just stunning, brilliant actors and singing, the songs and choreography catchy and entertaining without being cheesy. Lovely cosy colourful movie to watch at any age."
19,"Very entertaining, high energy choreography , great dramatics, well designed costumes and soulful. I loved Miles and Miles by Marshida it was inspiring and uplifting as the movie. I have watched it ten times so far.😂"
20,This is a true authentic Christmas family movie!! I was captivated by the amazing cast. It was magically and now it will be a classic for my family!
21,"LOVED THIS MOVIE!
I just adored this movie from start to finish. I'm a huge fan of stage musicals and this definitely gave me a stage-musical feel all the way. The story's very heart-warming and I the message in it is even better - nothing's impossible when you believe it can be done. We lose so much of this feeling when we grow up that we most often lose our way and this clearly demonstrated this belief. Back to the film though - the sets were absolutely breath-taking, the music was fantastic and uplifting, the singing was truly awesome and the dancing was exceptional - the cast was fabulous too - it was a breath of fresh air to see such a fabulously diverse cast.Overall, this is one movie that will remain a favourite of mine for years and years to come"
22,Such an incredible feel good movie. Incredible costume designs. Great music. Forrest Whitaker does such a great solo performance and truly performs the sorrow of his character. The little girl is a true star in the marking with a beautiful voice.
23,Every moment of this movie was incredibly enjoyable to watch. From the set to the costumes and the wonderful actors. I had a smile on my face the entire time.
24,"I'm not a fan of musicals, but I can give 10 stars if done right, like Frozen. On the plus side, this one does have the best sets I've seen in a long time and Forest Whitaker does a great job with his character. But the dialog and story are very weak and the songs are not inspiring at all. If I had it to do over again I'd skip this movie."
25,Truly inspirational and amazing to watch! Definitely worth watching.
26,"Children and most adults will probably love this film. It's got everything but in my opinion a little too much of everything. If you enjoy the greatest showman then you will recognize the similar music and choreography right off the bat. For me this movie is way too sugary, over the top and cliche without any real sincerity."
27,"The music, the theatrics, the dancing, the colors, and THE VOICES! WOW! It made my heart happy and we need that with everything going on. I'm sure I will watch it multiple times during this holiday season with family and friends. #MochaHolidays #JingleJangle #HolidayMagic"
28,"Beautiful movie, great actors, my little girls recommend it..."
29,"It looks pretty and feels magical, but thats about it. The movie seems to want to check to many boxes at once and ends up forgetting to do the most important thing: be a good story. The story is rushed and not unique, the personalities feel completely fabricated and dialogs unrealistic. This movie is probably fun for very young children, but thats about it"
30,"Feels like netflix wanted a bunch of things in this movie, but this resulted in little time for each keyword. There was no time appreciating any relationship and decisions. When the characters lack motivation and logic as well the movie becomes lackluster."
31,It's not horrible but definitely passable. The story line is just so predictable and familiar like bits of other movies were pieces together for this one. Definitely not Forrest Whitaker's best performance but some actors were fairly good. Also some weird parts that didn't quite fit or provide much to the story.
32,"One of the worst if not the worst Christmas movie I've ever seen. The disappointment is proportional to the size of the production, what a huge waste of resources. Photography and costumes are the only things I save. The story is terrible. The characters are a bunch of stereotypes put together randomly and the soundtrack is the pinnacle of bad taste for a Christmas movie. I am very surprised to read so many positive comments."
33,"What a lovely, charming Christmas movie. Journey is just fantastic. Watch by yourself, with the kids or grandkids. You'll be glad you did."
34,"The robot 'Buddy' was treated with E.T level importance, the kids just MUST risk their lives to retrieve it, which would be fine were it not for the fact the kids spent only one (very) short scene engaging with it. There was never a connection formed for the kids (or the audience) to really care whether the robot would be saved, or would be repaired. By the same token the inventor and his love interest shared only one musical number together in the beginning, and then were apart for the rest of the film, and so once again it was very hard to care if they would end up back together.Only upside to the film is the musical numbers (great dancing, great visuals). Skip the rest of the film (it drags), and just watch those segments on youtube or something."
35,This is an instant Christmas classic!! There's amazing music and costumes and CGI and -Christmas magic!!
36,"I was surprised at how good this movie/musical was. In a world of remakes it was good to see a new storyline. The music, the costumes, the settings, the actors...all amazing. I hope this makes it to DVD so I can add it to my collection."
37,"This Movie/Musical is incomparable and is certainly not your average film. ""Jingle Jangle"" will wow you in multiple ways. The storyline and plot are amazing and will keep you glued to the tube. The cast is hand-picked and made each part believable; especially the newby, little Miss Madelin Mills ... who plays the part of Journey Jangle. Her charisma is magnetic. WHO IS SHE AND WHERE DID SHE COME FROM? We'd like to see more of her.The music is electrifying and makes you mumble the lyrics even if you don't know the music pieces. The vocal choices displayed in each song were unpredictable and more inviting than your traditional Broadway musical. This movie is sure to get rave reviews. A MUST SEE! A MUST RE-SEE!"
38,"Where do I start. Bad acting, must have used most of the budget on Forrest Whittaker. The songs were out of context for the moment, completely forced with lyrics that were nonsense. The plot is ok, but some if it just doesnt make sense. Its about an hour too long, its padded out terrible songs and scenes which are completely pointless offering nothing to the story."
39,"I watched this with my children last night and we loved it. The visuals and design are stunning and well thought out. The music was catchy, uplifting and beautifully sung. The choreography made you want to get up and dance. As an adult who has watched lots of Christmas films there's always similar themes that you can pick up on but I think that's part of a Christmas film is recognising that hope, joy, faith and belief are usually going to be a part of it. The animated parts were amazing as well and then on top of all of that, the representation made my heart swell. My child even said ""look she has skin like my skin"" as he stared at the screen with pure wonderment. This is definitely a new holiday classic for us."
40,"FIRST let's get the thorny issue out of the way: People are saying this is a racial story or a black story. If that's the first thing you noticed, you may need to reassess *why* you noticed that so much. Yes, the lead characters *happen* to look African by heritage (ethnic traits do tend to pass down from same-ethnicity parents!) but I detected no agenda beyond the rather tautological message that self-belief is the key to -erm- self-belief!
Now for the actual review. Visually it's gorgeous, but so sweet I sometimes felt queasy. Here's my problem, it looked like an archetypal Christmas film, but did not feel like one. That story could have happened at any time of the year. It was a dull predictable story too - the plot actually had not one single 'I didn't see THAT coming' moment. That's probably still entertaining if your actual or emotional age is still in single figures, but, if you've been around a bit longer, you may come away jadedly disappointed at how little life-affirmation it gave you.
It promised to be so much more from the trailer, but I just didn't really accept the characters as real. They were each introduced with formulaic clues as to their inner psyches... then those psyches were never explored. Given that it was over-long for a children's film, they could have found opportunities. Instead we were assaulted with 'uplifting' Disney-style power ballads, but few real emotional interactions. Even there, half the time they weren't even singing *with* or *to* anyone. The songs certainly showboated some powerful voices, but had lyrics that were inane and did not even properly rhyme. I had forgotten every one as soon as the film ended. Sadly the songs also highlighted that though Mr Witaker has many talents, in comparison to the other singers, singing is not his strongest.
Without giving away the plot: I came away annoyed that character A clearly under-valued character B, which turned B bad, and then character A was never called to recognise they were actually responsible for creating their own antagonist. Including that one confrontation, admission and reconciliation in the story would have raised the dramatic effect and pathos enormously.
My favourite bit, seriously, was recognising one of the location shoots as a place I know!
In short, it was ok for a bit of fun - a funked-up Mr. Magorium's Wonder Emporium if you will - but I wouldn't watch it again next Christmas, or ever."
41,"Don't believe user review who give rating 10
It's really bad move."
42,"I am a huge Christmas movie watcher, and this may be one of the best I've seen lately. The story is original and heartwarming. The characters are immersive with wonderful actors. The costumes and sets amazing!!! Every scene is a delight for the eyes. The songs are so powerful. This movie is for children and adults, and should be shared together. Whoever put this together, thank you!!! This put more happiness and holiday cheer in my heart than any movie in years 💖"
43,"The story was fantastic, it had everything within it to be great: good storyline, stellar cast, Broadway vibe. Just everything was too much. Over acting, over singing, over trying.
It's good, but not a must watch, and not a watch again"
44,Such a fun holiday movie!! I normally fall asleep during kids movies but I was awake the whole time loved all the songs and the feel good spirit!!
45,This is a jumble of movies you've already seen. It's Wonder Imporium meets short circuit meets Christmas carol meets polar express. It has beautiful sets and a good cast but it's just a thrown together fruitcake of played out themes.
46,"It's a musical but doesn't know about it.child actors disaster.
target; broadway
result; disney channel.
I would like to write at length, but you get tired just reading. Netflix Christmas/Noel/New Year productions are getting worse every year."
47,"So the positives.
General idea and story telling ok. Not really an original idea as it has a load of influences.
You can clearly see the main influence is the Greatest showman.
Easy watch that require you to put little effort into watching to understand what's going on. Some kids will enjoy it but I think they'll get bored quite fast.Songs. loads and loads of songs A bit too much. Nearly every scene has one. Over acting over singing over everything.Critics will love it due to its diverse cast but I don't rate films that kind of way.I like forest Whitaker and Keegan-Michael Key performances.
4 stars."
48,"If you're looking for super deep plot twists and layered story telling then no, you won't find it here.
Jingle Jangle may try to cram as much festive cheer into the 2 hour run time as I do with pigs in blankets at Christmas dinner but that doesn't take anything away from the vibe of this film.Beautiful set design, costumes, cinematography, choreography accompanied by a high end soundtrack by some of the industries' highest award winning creatives gives us a real treat on the eyes and ears.I'm not into musicals at all but even I couldn't help but get swept up in this little gem of a Christmas musical, nodding my head and tapping my feet to the non-traditional songs we've become accustomed to with typically 'white Christmas' films.After all of the misery that 2020 has brought to so many, Jingle Jangle is the perfect remedy to put on and forget, even for 2 hours, everything else and feel all warm and fuzzy.Does it have flaws? Of course. Does it matter in a festive kids musical? No.Also, Forest Whitaker's performance should not go unnoticed as he proves he is still very much worthy of being the lead actor. Couldn't help but choke up at times (no spoilers here) and who knew he could deliver when it comes to dropping a tune. He should do it more.
Madalen Mills also destined to become a superstar.Take it for how it was intended and you will love it!"
49,The Movie is a real disaster. I could not understand what was going on in the entire movie ! The acting skills were average. It is a real time slayer.
50,"Ignore the bigots this is not a film about race and not should it be discussed as one, it is simply a delight! Magical and full of charm please watch it it's a real treat"
51,"They're boys, so generally immune to musicals, or so I thought. But they watched every minute of this spectacular holiday movie. A treat for every single sense, eye popping colours, award worthy costumes, and what incredible voices! We all loved every minute and this will become a holiday favourite. Witty dialogue, sweet messaging, what's not to love? Thanks for creating a movie for the entire family, albeit Granny is now inundated with requests for a Buddy robot..."
52,"I'm not a big musical movie lover, but this movie took me so many places. I laughed, I cried, I got goosebumps.... I was taken back to childhood feelings of love, imagination, excitement, hope and wonder. It was absolutely heart felt and I can't wait to add it to my family movie library."
53,This is the type of movie I watched growing up. Its awesome Netflix and the producers and writer are showing quality diverse stories with the magic we all love. This movie made me smile all over to know that children will see themselves in the characters. This is just what I wanted it to be. I loved it.
54,It's escapism for your eyes and soul. Costumes are rich and colourful. Singing and dancing is on song. The actors are great.If you want something to lift your spirits. Then watch. It's really fun.
55,"Awesome movie! The story's very heart-warming and I the message in it is even better - nothing's impossible when you believe it can be done. The costumes are beautiful, vibrant, and imaginative! Loved the dancing and well written songs! Do yourself a favor and believe in magic while you watch this movie! Love love love this movie! Funny, fun, imaginative!"
56,"I'll admit that once I realized that it was a musical watching the trailer I lost interest but wanted to put something for my 6 year old daughter that was ""Christmasy"" ....I was immediately HOOKED!!! The story is just magical! The songs truly catch you where I found myself wanting to sing along, the costumes and the set...everything just comes together so beautifully!! The actors did qn amazing job especially little Journey and it really captures the heart of Christmas and the joy we all need this time of year especially during this past pandemic and 2020 being well..not the best. I will definitely rewatch again with the whole family and make it a holiday tradition to watch every year. Thank you Netflix for this wonderful and magical movie!!! Now I feel like watching The Greatest Showman 😆❤🎄** I'm glad I chose this movie for my first review **"
57,"I watched this earlier and was amazed
It's such a good film deffinatly in my top 5 , I really strongly recommend it"
58,Great feel good family movie!!! We absolutely loved the songs and wardrobe. Beautifully done
59,"I watched this movie with my husband and we both were touched, enlightened, entertained, dared to dream and felt every emotion we felt watching Rudolph The Red Nosed Reindeer! For a few hours, we were able to forget politics, covid-19 and everything disheartening! This musical was jazzy, cultural, diverse and everything a holiday movie should be!!!!"
60,"A Christmas movie that will certainly go down in history, this movie was a delight from one spell-binding scene to the next.Great acting, singing, and dancing - with colorful period pieces and costumes, this is a must, must see for the holidays.A delightful cast and a fantastique story line, a classic and more makes this the first place movie of the season. It nudges out all competition.You'll watch it again and again; not just during every holiday season - but as soon as it ends, you'll want to turn around and watch it again!"
61,"It's hilarious to me to read the reviews and see people saying this is ""overally racial""??? I think this was a breath of fresh air after everything that's been happening this year, specifically the stupid race war. The one or two films that they have under they're belt compared to the MILLIONS of predominantly white films? Yeah I've seen those movies before this was something different!
Hahah what a joke people are. It's sickening that people watch a movie and the first thought that comes to mind is RACE!!Anyways my one con on this would be timing and singing other then that outstanding Christmas movie. Great start to our families Christmas movie night."
62,"A modern day classic that belongs right up there with it's a wonderful life and Christmas story .
10s across the board on everything, we needed this right here and now .
All those nasty negative reviews are coming from ....let's just say the same people who voted for Trump ( . U guys should be ashamed of yourselves and let all the hate go ."
63,This is not your typical Christmas movie and in a good way!
64,"Sets, costumes, singing and acting is wonderfully magical. Well worth your time! Definitely one of our new family favorites!"
65,"In these bleak times Jingle Jangle is the musical salve we could all use! Fantastically bright sets, rousing songs, wonderful dancing, and a whole lot of heart from these characters who may be new but immediately feel familiar and warm. The amazing children, especially Madalen Mills, definitely drive the show; but Forest Whittaker is achingly endearing and Keegan Michael-Key is delightfully warped. Please keep making more movies like this, where we get to see diverse casts, centered on stories of their lives. Representation matters so we can show our kids the full hearts and souls of all people."
66,"I'm not usually one for Christmas Movies but this one is great! Great story, awesome acting and who knew Forest Whitaker could sing like that? I highly recommend it for the whole family."
67,Such a well done story with great music and super fun characters! I loved the costumes! The story was so well told and the acting was perfect. Nice job! We will watch it every year. I love the holidays.
68,"Magical! Brilliant! Heartwarming! Spectacular! This movie is an instant classic. An amazing cast! The set was fantastic, the acting, music and choreography was superb. I haven't watched an entire holiday show in years, I didn't miss a minute of Jingle Jangle."
69,What a beautiful movie with fantastic music. The characters have layers which makes the movie all the more enjoyable.
70,"What a beautiful movie that's so fun and heartfelt. There are some out there fantasy moments, but it's a family holiday movie! My kids absolutely loved it - they joyfully danced along to the songs. The characters are so great, especially Mrs Johnston, the postal worker. The representation is so great - both for communities of color and smart, brave female characters. This is going to be in our annual Christmas movie rotation. Highly recommended."
71,Absolutely adored it! Music was amazing as well as the dancing!!!!! One of the nicest Christmas movies ever!
72,"This is a Christmas film I will definitely be adding to the holiday line up. It's really good with stellar cast, great animation and visuals for this especially Christmas season. Don't believe the low criticism saying it's a waste of time. If you have the feeling of imagination and Christmas spirit you'll like the film."
73,"I'm not sure why there are comments about this being too long. Have you timed the Nutcracker or the Christmas story? Your kids can watch this in the afternoon and be amazed. It's Broadway, it's the Sound of Music, it's a family story for all ages and perfect for a moment of pleasure in a year so full of crazy! Finally a welcome addition to 2020."
74,"Great film. We'll be watching this again.
Didn't pick up any songs that stuck. But my kids absolutely loved it."
75,"This movie has heart. It was suggested by a friend and I thought it'd just be another one of those cutesy familyfmusicals... but by the end... I was crying. Forest Whitaker is just amazing, and you might not think the story is all that great, but at the end, you realize how great it is. It's a movie about losing hope, giving up, and coming back from that. Really just give it a chance."
76,"Beautiful costumes and settings, amazing dancing, singing and a great story which kept you guessing. Exactly the sort of film I want to watch at Christmas, and would happily watch it every Christmas from now on!"
77,Jingle Jungle and all that staff in title was a fun time for most of runtime and i think that young kids could enjoy this film and had a fun time with it.Characters are wacky and over the top but for this kind of films it works rather well and such things made this film even better.The best part was Key who was scene stealer here and his character had everything that he needed to have and he accepted that with a pride.Whitaker and rest of cast were also good and kids for the most of film did a good job.Runtime is perhaps little to long and it starts to drag in scenes but still in end this is cool kids film
78,"I absolutely loved this movie. I am sort of neutral when it comes to live action musicals but the musical performances in this movie were fantastic and the music was beautiful. The background was a perfect fit. The acting was top notch with a very likeable cast. The only reason I didn't give it an outright 10 is because I felt part of the story was missing, specifically the part about the daughter. I sort of wanted to know what happened to her during her absence but I used my imagination!"
79,Adored this Movie. I rmbr wen David E Talbert used to Produce Plays. Your work is Outstanding from the Cast to the Musical numbers and Dance. God Bless You🌹
80,"Tis the season for new movies... at least it used to be before the virus hit. What normally would be a busy Friday night has turned into scarce pickings over streaming and trying to keep up with the idea of specials that these sites are loading out. Tonight though, I managed to catch the early seasonal film, an attempt to get a Christmas spirit going in hopes your little ones will catch the magic of the holidays. So, what do I think of the latest direct to stream film? Please read on to hear my thoughts as I review.
Movie: Jingle Jangle: A Christmas JourneyDirector:
David E. Talbert
Writer:
David E. Talbert
Stars:
Forest Whitaker, Keegan-Michael Key, Hugh Bonneville
LIKES:The Cute/Charm of the movie
The Costumes
The Setting/Effects To make the Setting
The Storytelling CGI at parts
The Messages
The MusicDISLIKESThe Rushed Opening
The Lack of Christmas Energy
The Lack of Suspense
The Story is Weak AT a lot of parts
Too In your Face/PreachySummary:I give Talbert and his crew props for crafting a tale that feels much like a children's novel meant to inspire and ignite the dreams of the young. Jingle Jangle is a movie with all the trimmings and charm that feels like it came out of Disney or Nick Jr. studios. Very little darkness, very little dismay, the diluted hard knock lives only act as a means to ignite the spark of hope that this movie carries with it. The inspiration of hope, creativity, and belief are strong messages in this film and you can be sure those who love their Hallmark and young adult films will get caught up in the aura this movie unleashes.
In regards to the manner it tells this story, that is my favorite part at this stage of my life and where I think the movie does things quite well. Costumes bring you into the Christmas Story vibe as a much more ethnically mixed cast shows off the designs and brings you into world Talbert wants to build. Settings using stage pieces and CGI take that journey one step forward, but mixing in a bit of fantasy clockwork that the Nutcracker made a few years ago that is intriguing to see. Regardless the world building is rather impressive, and other movies can be seen as the inspiration for the direction they chose. Amidst the different acts, a nice telling using clockwork robots is used to fill in the interluding space, again capturing the charm of a Christmas specialty shop I visited when I was younger. It's a nice twist in style that I appreciate, though maybe it did get a tad overused.. However, the real wow factor for this movie's presentation is the songs that come with it. While not as diverse, Jingle Jangle's soundtrack reminded me much of The Greatest Showman. Wailing orchestral music combines with hip hop, funk, and classical to make a toe tapping ordeal with numbers that are both motivating to get up and dance and also emotionally layered as well. The opening number in particular was one of my favorites, and a middle number as well hit the spot, while others serve to be whacky and entertaining for all ages. Like many of the modern day musicals, lots of time and resources went into this element, and I believe some story sacrifices were seen to load the 2 hours with as much music as possible. If that's your angle, this movie should be number one on your spot this weekend, if not, well read on to hear my limitations with the film.A strong opening that promised magic and a true Christmas adventure, quickly become rushed, musical numbers overshadowing the story and character development at many parts of the movie. Never did I feel this more than the opening where so much set up was cast into an interlude in order to fast forward to where our younger cast could make a splash so to speak. It seems during this rushed opening where villains and supporting characters quickly got crammed in and swept aside that the Christmas components also got lost, dropped into the pre spirit visit of Scrooge's life and not really escaping this until the very end. The movie sort of diverges from even the Christmas error, instead becoming more towards rival toymakers, greed, and some inventing components similar to Hugo meeting Wall-E's designs so to speak. Was it cute? Yes, quite adorable, but I don't know if I would call this a Christmas Journey, more than journey for self-growth near the end of the year. In addition, the suspense and challenges we see in movies (Santa on trial in Miracle on 3rth street, Home Alone's Kevin defending his home from robbers, or even the Rugrats trying to trap Santa in the chimney) were missing in this film.. A few challenges and test of character, Jingle Jangle trades real development of threat and ingenuity to solve problems for more musical numbers, feel good monologues, and kid friendly slapstick for lack of a better word. It leads to sort of a haphazard story that is a bit weak for my tastes and loses the collective picture I think we all look for in the seasonal films. And perhaps the worst of all... it feels like a sappy, political, Facebook post when trying to deliver its messages. Again inspiration, but I agree too much that it misses the mark of a truly motivational movie for another filler meant to be added to the collection of the streaming movies, but again if that speaks to you, you should have no qualms with the film.The VERDICT:Given what passes for Christmas movies these days in a world of mass produced generic films, Jingle Jangle stands out in several departments. It's got the charm and magic of a kid's imagination that the season is about, with costumes, CGI, and setting that finally took me back to my childhood. Throw in some toe tapping numbers and some cool storytelling effects and you once again add points for raising the positive factor for the season. However, the movie is again about the superficial entertainment pieces and misses the full cohesiveness that several classics have maintained from over twenty years ago. The story is nonsensical and not much of the Christmas direction it promised, and the film's pass on adventure did not quite keep me as engaged as the opening number did. Still above all else, it's going to serve as an inspiration to a number of families and given it's accessibility is perfect for a direct release at home. Given the thoughts, the ideal is for those with young families, primarily ages 3-12 who like the song and dance gimmicks and not so much about complete stories.My scores for the film are:Family/Fantasy/Musical: 7.0 (Family/musical themes)
Movie Overall: 6.0"
81,"Jingle Jangle has such a feel good factor, proper Christmassy film that all the family can enjoy. It has goodies, baddies, singing, dancing & great characters especially ""Journey"" what a wonderful little actor she made the film. It touches your heart, tears of happiness I would definitely recommend this film to anyone."
82,I enjoyed this movie with my daughter! She finally got a chance to see someone who looked like her in a Christmas film! I really liked the way that the story was all about the strength of LOVE. I will surely watch this movie again next year & for many years to come!Anderson Brown
83,Finally a colorful Holiday story that was so enjoyable and filled with the joy and magic of the holidays!!! Thank you to the WONDERFUL cast!!!! Just BELIEVE!!!
84,This movie is a treat! Excellent story. Excellent music and choreography. Great for all ages. Forrest Whitaker shines.
85,"Although, it not the typical Christmas Story, it is packed with magical wonder. Great movie. Great story. Thank you for including everyone."
