,0
11,"What a masterpiece!! Seamlessly the story keeps on shifts one to another. What you have is a roller coaster ride thrilling yet smooth. Anurag Basu's story telling ability has been a class apart same like Barfi,Jagga Jasoos buy what's entertaining here is the story which builds up the traction as you get into every character
Cinematography is awesome as usual .and Pritam's music .still chanting hardam harpal."
12,"A must watch movie, Basu has nailed it completely, the message is sometimes happiness outscores practicality, also sin is overrated and mostly misunderstood and it has been delivered very well if u read between lines."
13,"Firstly, don't expect too much after watching the trailer. Now talking about the movie, the writing of Ludo is very good, but screenplay is little confusing. Yet there will be no problem as Anurag himself is there to explain you. Some moments are really very nice, specially when 2 stories are colliding.Cinematography is brilliant. The character of Rajkumar Rao shines the most. Abhishek Bachchan, Fatima Sana Shaikh & Little Inayat Verma also gave very good performance. The song 'O Beta Ji' will remain with you. Finally, Ludo succeeds to leave a smile on your face."
14,"Starting from the beginning till ending the movie didn't made a second to skip like. Not a single song, a scene felt like to be skipped. The best release of 2020 indeed! The storyline omg so twisted yet approachable n amazing❤ The movie felt like got ended in 2 hr 21min bt thn again in 2hr 27min the plot turned upside down. Literally Wow💯 And lastly the concept of Yamraj felt so unique."
15,"What a great movie! Loved each and every second of it. Great cast! From Abhishek Bacchan to Aditya Roy Kapoor to Pankaj Tripathi, never let me feel bore.
This should be the movie with 9+ ratings instead of a recent movie which got 9+ ratings (iykwim). ;)"
16,Feels good to watch dark comedy in bollywood. Movies like Ludo and Lootcase should be made more rather than mediocre comedies like Housefull where it feels like the movie is made for audience with 0 IQ. The theme of Ludo definitely feels inspired from Guy Ritchie movie style. Matches theme of Snitch and The Gentlemen.
17,Great sense of humour. Good screenplay and beat acting. Some very big things are the timing of the dialogues are good and interesting especially Pankaj tripathi as always. Good direction skill shown by the director however there are rooms for editing as movie is long around 2 and half hours. Climax is good. Imagination of a nice idea.
18,Ludo is a chaotic yet fun to watch film. Expect the unexpected in this dark comedy anthology as you do in the case of life or a game of ludo. The characters like players of ludo criss cross and get second chances. Anurag Basu draws parallel with the unpredictable game of ludo and stitches four different stories together to come up with this delightful piece of filmmaking which is a unique experience in cinematic viewing.Various characters get ample opportunity to shine and the actors playing them never miss the mark. Pankaj Tripathi yet again steals the show playing the role of a gangster. This bundle of talent creates an entertaining character with the help of his gestures and expressions. Rajkumar Rao plays the role of a lover who is willing to go to any extent for the sake of his love. He is extremely endearing and stands out with his antics. Abhishek Bachchan gets into his always likeable angry mode and plays the role of a tough guy who has a soft heart with a lot of brooding intensity. He is outstanding in the scene where he meets his daughter after a long time. Aditya Roy Kapoor is a real surprise as he does well in a very interesting character. His voice modulations and mimicry (Assuming they are done by himself) are effortlessly amazing. The leading ladies Sanya Malhotra and Fatima Sana Shaikh also play interesting roles. Whether its Sanya playing a confused character or Fatima a manipulative one they have both done a great job.Pritam creates another melodious soundtrack for Anurag where the songs are seemlessly placed with the narrative. O betaji an old evergreen song has been used humorously in the story. The four colours of ludo game have been used intelligently. The film talks about karma as well as philosophy of life but all in a lighter vein. It brings a smile on your face as Anurag had rightly mentioned in his interviews. Its a mad world created by him and his team where you sit back and enjoy this crazyball comedy like a game of ludo. This light breezy entertainer is perhaps the best Diwali watch this weekend.
19,"After many ordinary movies like Cargo,Serious Man (Below 2.5 stars) finally Netflix got a original project this right. The script was perfectly planted because it is never easy to maneuver 4 stories with atleast 2 leads per story at thesame time with so much interest. The script is perfectly crafted. You will never realise this movie is 2:22 hrs long."
20,Anurag Basu knows how to play with the audience. This is yet another example of creative film making by the Barfi director. The way characters were introduced & the way climax was presented was outstanding. A must watch film.
21,"Great film amazing starcast
Good acting
Fantastic story
One of the best film of 2020"
22,"Credit Goes to Mr.Anurag Basu with a good story and direction. How Brilliantly narrated, and each of the characters suites as per the story. There is some flaws but its worth to watch."
23,"Unusual dark comedy where many unwanted things, desires and disasters are fragmented through some truly talented actors of Bollywood. Four characters are struggling in four different story yet connected in some aspects. Sometimes it feels like confusing but brilliant transaction among each story makes this movie so enjoyable.Worth watching"
24,Each and every character of the movie are well connected and the story is climax full at each point of movie time.
25,"This is very good moive all characters are osm and full pack romance, thrill , action and drama. 👌👌"
26,Indeed a good movie which you won't regret watching it. Totally different stories which are inter-related to each others..lot of funny scenes.
27,"I was pretty excited to see Ludo. I loved the cast and Anurag Basu is a director that puts up interesting and experimental films like Barfi! and Jagga Jasoos that other Hindi film directors don't do.Ludo, like the board game, shows four different storylines and how they all connect by fate.To be perfectly honest, I feel quite mixed on it. There are certain aspects that I appreciate and other choices that frankly annoyed me. It's very rare to see a director do the cinematography for their own film. The only other time I've seen that happen is with Roma directed by Alfonso Cuarón and I liked what Basu did with it. The use of the four colours in the board game: red, blue, yellow and green are present in the film in many places whether it's to do with costumes, vehicles, lighting or buildings. It made the film look really good and suits the film's title really well. For a black comedy, the dialogues are decent. Rajkummar Rao and Pankaj Tripathi get the best ones and there are quite a few laughs from them.The entire cast do a great job. It's great to see Abhishek Bachchan in a film after a long time. I always considered him to be underrated and he does a great job. He gives a restrained performance and so a lot of emotions come from his eyes which conveys the pain he goes through really well. Pankaj Tripathi is very fun to watch and is great as usual. Aditya Roy Kapur and Sanya Malhotra are great together. Rohit Saraf and Pearle Manney are pretty good as well. Fatima Sana Shaikh and Rajkummar Rao are excellent. I liked the relationship they had with another and is one of the highlights of the film.There were a couple of narrative choices which bugged me during my viewing. Anurag Basu is in the film and serves as the narrator who discusses the film's themes and character traits. It's this choice that really brought down the film for me. I wish he would've let us figure out what the overall meaning and purpose of the film is rather than holding our hand and blatantly telling us. The background score also tells us how to feel during a scene. If something funny is happening, comedic music starts to play which shouldn't be the case as the comedy should speak for itself. The film is also pretty long and I feel it could have been cut down. I don't think the abundance of songs added much and the pacing during the second act could have tighter. There are a couple of special effects used which aren't polished at all.Ludo is a yet another interesting film by Anurag Basu but it has problems that really brought down the film for me. A lot of people seem to like Ludo and you can see it on Netflix if you want. I would recommend seeing Amores Perros and Super Deluxe if you haven't already. I think these films do a better job at this genre."
28,"Amazing loved it. Every character, every story plot is amazing. What a black comedy laughter express."
29,"Kudos to Mr basu and entire team. Amazing flat form,good acting, Fatima sana sheikh acting is exposed,all are good..Good story, Amazing music by pritam dada..."
30,Brilliant movie excellent story acting screenplay direction Or departments Did good job Blue after long time good story in bollywood
31,"Wonderful movie, another level direction and screenplay, strongly recommend..
Overall one of a kind movie.. Fabulous"
32,"Thanks a lot anurag basu for making such wonderful film. I was sick and tired of watching over aged above 50 actor.
Really loved the way story is narrated how all characters have impact on eachother life.
You will feel glimpse of burfi which was also amazing movie.
Its a paisa vasool movie"
33,It's a paisa Wasool . You will end up with smile . You wouldn't regret watching this movie .
34,It is very entertaining. Must watch. The characters are well elaborated. The story has it's own way of unfolding sequences. And like always Pankaj Tripathi played his part fantastically. And the kid was cherry on the top.
35,"Great acting, story and brilliant direction and screenplay."
36,"Amaging story and flow!!! Avishek and others,everyone played their role way too perfect. The dirctor, writer and others associated deserve a thumbs up"
37,"Excellent screenplay, superb acting by Rajkumar Rao and Pankaj Tripathi, every single character was important. Overall should watch movie"
38,Got to see a fun film after a lomg time....pankaj tripathy steals the show....nd rajkumar rao too good....watch it for these two guys.....rest everyone has been good....
39,The amount of energy put in by the actors and the story primarily is unmatched.
40,Too much fun excellent of humour and outstanding performance & last but not least good direction and editing a complete movie.
41,"Well edited, great screen play. Everyone lived in their role. 150 minutes just fly by."
42,"What an epic movie, a must watch.. very entertaining..."
43,"If you hadn't watched any great movie in a while then you should go for this one.
Anurag Basu always do some kind of magic in the cinematography of his films and this one is exceptionally great movie."
44,"Movies are a medium in which a good director can convey a lot without words, and there are some fine moments like that in Ludo. There are also deft storytelling touches, like the two characters that the movie opens with - they have intriguing metaphysical discussions about the actions of the other characters, and it's only at the climax that we are told who these two are. They're not important to the movie, but having them makes it more interesting and enjoyable.There are complex intersecting story lines. The screenplay, editing and camera work are generally excellent. The performances by all the actors , even the relatively less known ones, are uniformly good. All these plus the unexpected artistic extras make this a very rewarding watch.The movie does have some downsides. When the climax rolls around it's a big relief, because the plot feels overly stretched out by then. The length should have been cut by at least 20min. The continuous intersection of story lines feels forced after a point. There is a subplot involving Abhishek Bacchan and a little girl, and in spite of the charming performance by the girl, that story line is weak and predictable, and omitting it would have improved the movie. Some plot devices are overused, you'll know what I'm talking about when you watch it.As a comedy this movie deserves a 9. But overall I'd rate it as an 8."
45,"Thank You Anurag Basu for LUDO <3There is nothing ANTY-HINDUISM in this movie. This movie has a deep message and not for everyone :)'LIFE IS LUDO & LUDO IS LIFE' - This line is completely matched with the storyline of the movie. Acting, Screenplay, Direction - everything is just brilliant. Such A Masterpiece <3"
46,"Ludo is a comedy thriller told in multi linear narration. It revolves around characters like sattu bhai a gangster, his former aide bittu, stand up comedian akash and his girlfriend shruthi, a theatre artist and hotel owner alok and his ex lover pinki, nurse sheeja and salesboy rahul. How these characters are related and connect together is the rest of the film.
I started watching the film for rajkumar rao and pankaj tripathi but it was abhishek bachchan for whom I rooted for. I got hooked with his track after his character bittu meets mini(inayat varma). Their chemistry was heartwarming and a delight to watch. His scene where he meets daughter makes you emotional. Ludo is a perfect comeback for junior bachchan. Rajkumar rao was impressive and I loved his long hair. Pankaj tripathi was brilliant as usual.
The climax was not satisfying for me because I couldn't digest sattu bhai who ruined bittu's life in the end enjoying a happy family life and bittu getting a sad death. Also I didn't like pinky killing off her husband as she could get rid of him in other ways too.
On the whole, ludo is a very entertaining film which makes you laugh and cry at the same time. Despite being a multi linear narration, one never gets confused. One of the best ott films released during these bad times."
47,Awesome acting of Pankaj Tripathi as usual.Mind blowing story line
48,"Movie is justt wooow enjoyed till end one of the best movie of 2020 @TripathiiPankaj nailed Comedy and expressions were
Comedy, emotional, worked well
@juniorbachchan role was so emotional
@RajkummarRao"
49,"#MovieReview #SpoilerFree #Ludo #Netflix #BollywoodAnurag Basu's Ludo is a delightful laugh riot featuring a motley crew of quirky characters that keep you hooked for 2.5 hours.A portmanteau tale of interconnected storylines Ludo has it all-from a resurfaced sex tape to a child who kidnaps herself for attention!Abhishek Bachchan delights as refined gangster 'Bittu' alongside an adorable Inayat Khan as 'Mini'. Sanya Malhotra and Rajkumar Rao also excel in their roles.However, it is Pankaj Tripathi again who steals the show with his over-the-top performance as the beleaguered don 'Sattu' Bhai keeps you ROFLMAOing throughout.His three-stooges like act is as unpredictable as it is funny. Two thumbs up for this whimsical, albeit nonsensical tale.Recommended!"
50,Its very good movie.. Everybody should watch the film..
51,"It's a good entertaining movie. A bunch of good actors, a good script, and Pankaj Tripathi. What more you want in this pandemic!! Go watch it."
52,"Totally worth it. there r some people who says this movie is hinduphobic.for them"" Are bhosdiwalo bc jindigi yahi karte karte gujar jayegi tumhari"". There is line in movie where narrator says nothing is wrong nothing is right. It's all about perspective. so true tho."
53,Entertainment full on i feel Anurag Basu is a under-rated film maker director is in his best loved the performance specially dangal girls i want a new world 🙈🙈🙈🙈😂😂😂😂😂😂😂😂😉
54,Complete waste of time. It's the same experience I had for Kaal. Total loss.
55,"What a waste of time. Total boring story screenplay. Is it black comedy ?????????
I didn't laugh for a second. I was thinking when the movie should end .the movie was going haywire from one and to another so much of confusion so much of boredom. What's the purpose of good acting if your story is such bad I would never recommend a film like this to anyone........"
56,"When you see the star cast of Ludo along with the director's name, the expectations really go high. Movie is filled with talented people but unfortunately the captain of the ship has no control over its proceedings. The movie is a lacklustre from the word go. While you wait for things to pick up, unfortunately it never does and you are left wondering what exactly is going on. For a movie with different storyline's, the most important aspect is to keep the viewers engaged and interested. This is where Anurag fails. You just are never interested in any of the stories shown and are left wondering why did they even make such a movie. Despite all the flaws, only Rajkumar shines.Easily avoidable."
57,"People giving 1 stars are the ones who couldn't understand the movie or who are impatient. Nice concept, great acting , A well versed Dark Comedy Movie in Bollywood after long time! So watch it!"
58,I didn't like the movie as it was filled with complete nonsense
59,"I have watched lot better South movies in Tamil, Telugu and Malayalam which are far better executed and edited than this Ludo Movie. I clearly had a feeling of already watched scenes and stories of this sort in the past 15 years in South Industry. Finally, Ludo is a combination 4 or More South Industry Movies by a Director."
60,"I usually don't watch new Indian movies or TV shows but decided to watch Ludo for some reason. It was two and a half hours of cringefest, felt like watching nickelodeon, I swear I'll never watch sillywood movies again. Can't believe it's a netflix original. #Netflix #Ludo"
61,"Very unrealistic portrayal of the characters. The situational portrayal does not match at all with the image of the characters played.
The mix and match and unwarranted roller coaster makes it too lengthy and dragging."
62,"Worse movie ever😡.
Lack of proper picturization...not a good movie👎"
63,"Director has lost his brain in rabbit hole. Nothing to keep the audience continue watching and complete nonsense.
Good star cast wasted by ridiculous work of director and writer."
64,"It's one of the best 2020 Indian Netflix movie.
You should watch it. I know you guys want to boycott Bollywood but you should give a chance to this movie and watch it at least one time."
65,"If u want to waste money n time , plzz watch this movie 😜"
66,Much needed break from stereotype up-bihar movies that is now everywhere from web series to movie. Anurag basu has class of its own.
67,A Nice Movie Which Has Everything In It. If Creators Cut Duration By 30 Minutes Then It's Became More Enjoyable.
68,"Entertaining story Line.
Fabulous acting by the cast specially Pankaj Tripathi and Rajkumar Rao."
69,"Isbar deeksha didi sahi h!.. 100% masterpiece🤣🤣
Pankaj sir rocked it"
70,This movie is nothing less then a masterpiece .. There must be more such movies made.. Kudos to the writers actors special mention Rajkumar Rao.. Tripathi ji.. AB for a change..Aditya roy .. All the characters were fun .. Such a treat to eyes
71,"This movie is certainly not for everyone, but people who likes Dark , Satirical, and Confusing Stories then it's really good for you!!! and for Anurag Basu's attempt I'll give him 10 out of 10."
72,Love it great twist to the story line need few more of these movies!!! Interesting the way this story line connected.
73,"Ludo is one of a kind, undoubtedly one the bests in Bollywood. From the character enhancement to the marvelous visual depiction, everything makes you love the surreality of the film. And last but not the least, the classy cinematography keeps it chaotically intact."
74,According to me..one of the best movie of 2020... Its worth watching... I enjoyed every second of it... Epic performance epic story... Everyone should watch it... And enjoy this masterpiece..
75,"Best comedy movie after andhadhun in bollywood,i didnt expected ,but it came out to be surprise,the story pace is very fast"
76,What a wonderful movie it is!!A must watch movie available on Netflix...
77,"What a movie by Anurag Basu! It's worth watching. Some great acting from each character. There are all necessary eliments in the movie such as powerful screenplay, Gripping Story, unexpected story telling and great acting from Pankaj Tripathi, Rajkumar Rao, Abhishek, Sanya Malhotra, Aditya Roy Kapur and others. Don't miss the movie, it's great watch."
78,"This movie is the best film in 2020.Everyone in this film has acted well, specially inayat verma has done amazing work. Classic Anurag basu film."
79,"Ludo
The story of different person linked with each other in a story"
80,"This movie deserves all the accolades, coz it is class apart."
81,"Great movie, eye catching performances by Rajkumar Rao, Pankaj Tripathy & last but not the least Abhishek Bacchan. Other characters are good as well as."
82,Thanks for providing a really comedy. Its song also lovely❤❤❤
83,"Its a roller coaster of a movie, class act well inter twined of a spectacle. anurag basu is india's tarantino & even more. should goto win all awards, what a vision what a execution what a movie. a movie that inspires the watcher, a non actor / a lay person that i wish i was part of the movie somehow, has struck all the chords & is a game winner."
84,"After Barfi, another Masterpiece comes from Anurag Basu !! In this ""Dark Comedy of Errors"", 4 different stories intertwine in an intricate manner to create utterly hilarious & violent situations. The star of this film is Anurag himself, writing such a complicated screenplay, then directing with such mastery and also picturising it with such beauty. Then comes Pankaj Tripathi, Rajkumar Rao in ridiculously quirky avatars and Abhishek Bachhan with a heartwrenching performance. The music also stands out. Although the film sometimes overindulges and the narrator thing didnt really add anything to the film.
If you are depressed due to Covid or from watching Laxmi, Do give this one a Try, you will have a fabulous time."
85,"I was not expecting that this black comedy will be this good. Blended mixture of emotions and laughter.
The chemistry between each character is superb. The scenes were so perfectly connected. One of the best crime laughter black drama comedy movie. The background music too is superb."
86,"In this age of movies releasing on OTT platforms, very few have managed to intrigue me in the recent past as much as the latest Netflix original, Ludo.
Ludo starts off with a catchy opening track (yesteryear legend Bhagwan Dada's famous song), an appealing start and a quirky narrative. The criss-crossing between characters (which is the highlight of this anthology) is observed by a pair of commentators, including the director, Anurag Basu (his second anthology after the 2007 film, Life in a Metro). However, as the multiple characters get introduced one by one with each storyline randomly running back and forth aimlessly, you begin to wonder what is actually going on? This is one of the biggest drawbacks of the movie.
The ensemble cast deliver some credible performances - Pankaj Tripathi at his usual ""gangster-best"" apart, Abhishek Bachchan, Shalini Vatsa (as Nurse Lata Kutty) and Pearle Maaney (as Nurse Shreeja) really stand out. Rajkummar Rao's Mithun fan avatar is fun while Fatima Sana Shaikh as the sometimes docile, sometimes trigger-happy woman-scorned is a revelation.
In the end (and quite often in the middle too), the movie tries to get too preachy - saying everyone's version of ""good"" and ""bad"" is subjective by ruminating on the concept of ""sin and virtue"", the importance of second chances and the unpredictable nature of life itself!
But somehow, the individual tiles do not lead to that all-elusive ""home"" and sadly that's where this game of Ludo is lost!"
87,"If you get it you will like it, if not it wouldn't make sense. These type of movies requires a different sensibility, which Indian audience generally lack. If you like Pulp Fiction , this movie will be gold for you."
88,"Really appreciate the work done by Anurag Sir and Pankaj Tripathi Sir.Loved Narration and Screenplay the most, expecting more in future 🎉👏👏👏👏🎉"
89,All the characters are awesome.. one of the best comedy movies ever made ... pankaj tripathi did his work very well as always.. all the actors palyed their role fantastically.. a must watch movie..
90,A long due good movie from Bollywood. Just Brilliant.
91,Raj Kumar Rao outshine everyone .... Pankaj Tripathi and Abhishek Bacchan did well but RKR gonna impress you the most .....
92,There were a lot of illogical things in this movie but I enjoy the laughter I got while watching it. Amazing story with lors of twists and turns. Have a shot! Thank you
93,"Story telling,screen play to direction is very good. Each character connects in perfect way . Characters portrayed suits them and acted brilliantly 👌👌 Movie gets messier as it continues and entertains us 😍"
94,"Don't judge it by reviews.
It's a masterpiece.
Music of the movie is so good.
You will love the cinematography and everyone's performance.
The entanglement of everyone's story will amaze you.
Don't miss it."
95,"A true masterpiece just like andhadhund the direction of anurag basu is absolutely out of this world the film has comedy ,drama , action ,romance and that masala that every bollywood movie needs."
96,What a well written and played movie. The second half off the movie was just hilarious. Pankaj Trpathi beating all the odds here !!
97,"Pretty decent movie. The only gripe is at the length, I guess Anurag got lazy with the editing, knowing it was going straight to OTT. Abhishek track was the weakest, same brooding expression as in Yuva, Raavan. Need to show some variety. Pankaj is getting boring with the same sauve gangster look. Rao was phenomenal. Girls & Rohit did well. Gangster meets Life in a Metro in Jagga Jassos canvas."
98,"Fantastic editing, directing and great intermingling of the stories. Would've gotten a 10 on 10 like Talwar did from me had they logically concluded the films best characters story--the girl and the man , both were incomplete."
99,"Genuinely funny and poignant, you will root for the characters and fall in love with them, even the apparently villainous ones! Beautifully crisscrossing storylines and comedy of errors, thoroughly enjoyed it. After Jaane bhi do yaaron, Andaz apna apna, Hera pheri ... here is another classic in the making. Definitely must watch!"
100,"For me it was 8.5 stars. I could have gave full stars but there were slow screenplay after 2nd half and some nonsense logic less scenes. Otherwise, everything was good."
101,Really enjoyed it. Well made. Another Anurag Basu special.
102,"Movie is very funny and the direction is top class.
Finally Indian cinema is changing.
So glad it s finally happening"
103,Best movie..it contains such a awesome story and acting also best... Abhishek Bachchan done well... rajkumar rao make space in your heart with his acting...
104,"Really loved the beautifully woven film. Rao Kumar Rao, Siddharth Roy Kapoor, Pankaj Tripathi, Fatima S Shaikh, Sanya Malhotra all performed really well. But Abhishek Bachchan yet again prove that he is a actually a great actor. That story is very close to my heart. Watch the movie this weekend! The scene where Abhishek is trying to look at his daughter is the best."
105,Every charector done his job above the level. Pankaj Tripathi and rajkumar rao are outstanding.
106,Best thing in 2020. This is the real talent of indian actors. You should definitely ignore the Boycott gang and 1 star gang. Must watch movie 🍿
107,Every person in ths cast made their work precisely good.
108,"#LudoIf you ask me whether it's good or not.It is CRAZY! Madly it is crazy man! when I'm watching even a half second i didn't move my eyes.Screenplay is so good.Raj kumar rao and Pankaj Tripathi's roles are only made for themDon't Skip it! Watch, streaming on Netflix"
109,"Marvelous acting by rajkumar, love the part of abhishek bachann and cute girl, pankaj tripathi was amazing as usual..."
110,Hates off the director Anurag sir. Best screenplay in bollywood. Amezing Creativity.
111,"One of the best movies of 2020.
Funny movie with strong acting"
112,It's a marvellous one .... a film which refresh us and our mind
113,"Worthy to watch,full of content & intimidated chemistry of Aditya & Sanya. Fatima's character is also noticeable."
114,"I can honestly say, best movie I have seen this year. Comedy is genuinely funny. Great humor. Everyone's did their part best. Loved Rajkumar's character the most."
115,"This film is in turn brilliant, bewildering and totally nuts. A sensory explosion of colour, humour, philosophical sensitivity, passion and aggression. A veritable delight, refreshingly original and with so much to sink your teeth into and ponder upon. Thank you, Anurag Basu and to a cast and team that must have put a huge amount of effort and energy into this gem of a film."
116,LUDO is hands down the BEST film to have come out of the Hindi film industry in a very long time ... not only 2020 but lets say in the last couple of years . It's a rollercoaster ride with more thrills than expected
117,"Very well impressive movie , Very special entertained movie , only songs are boorings ."
118,Just An Brilliant Movie .... Such a Great Story Also Pankaj Tripathi Killing Perfomance ..
119,This is the worst movie for 2020. The movie tries to join 4 stories together but does a miserable job
120,Excellent acting(s) from some veterans along with some novice actor's brilliant performances.
121,"Never seen such pathetic film,
And never imagines that
Such worst movie should be allowed to release"
122,Very boring movie made by Anurag my expectations is very high from him.
123,Worst movie. The actors have not performed well.direction was big let down
124,Storyline not good. Acting has to be worked on more. Copied plot.
125,Third rate story and acting. Better skip it. I would rather call it a dark tragedy for viewers.
126,Start of the movie is really marvelous. Panjkaj tripathi has again proven himself
127,Highly entertaining movie! I enjoyed every bit of it. Good combination of crime and dark humour. Didn't feel boring at all. Anurag Basu's direction is amazing and all the actors did a great job here. Good music as well. Reminded me of Pulp Fiction.
128,Movie is is a good eg. Hinduphobic otherwise it is a good entertainer
129,Don't feel writing more about it or even wasting my time to write how pathetic movie this could be
130,Disrespecting Ram Leela.Why cannot you people make something without insulting Hindus
131,"As a typical urduwood product,it is filled with Hindu phobia"
132,"Is Hinduphobic and has sudden scenes with no reference really where there is Hindu Bashing!! A complete miss!!
About time people come up with rich content and don't need Hinduphobia for the sake of it.."
133,Over the years there have been many Tarantino wannabees. The plot is fine but the dialogues are not as engaging . RajKumar's acting chops carry the movie on its shoulders. Could have been better with a more stylish screenplay. At times the movie could not be related to. The music is a disaster. But better than the usual bollywood crap obviously. Honestly you can skip it altogether. But you may enjoy. No one has the same taste right?
134,Anurag Basu can do better. Rajkumar Rao and Saniya were good! Overall thumbs down
135,I thought that this series is good for diwali watch.but it turnouts nightmare for me.its have real shiiit!! .
136,Don't waste your time On this senseless movie! Terrible acting by Abhishek Bachchan! I don't understand why he just doesn't give up acting. He is offered role sjust because of his father. High time people start finding real talent instead of these good for nothing star kids.
137,There is no story in this movie. They don't have story as well as they tried to do propaganda. It is very difficult to finish this movie. Shame on director and shame on Netflix for wasting my precious time. Please watch this movie if you want to waste your time and then regret why you wasted your precious time of life.
138,A boring and a tiring movie. Regret for wasting my precious time
139,"Very boring movie with no logical sense. It's multiple love stories into one movie, don't understand what is dark humor in the movie. Watch at your risk!!!!"
140,"A big waste of time.. senseless dialogues
ugly in all ways.. the worst comedy film ever released.. a big waste."
141,"Wanna be content, no story line whatsoever. Just good flashy visuals"
142,"Mocking Hinduism is black comedy? have no Bala to to do same with others, and last worst screen play"
143,"Why Hinduism is insulted in every Bollywood movie
I hate this movie"
144,"Long, boring, predictible,
If you wanna watch Hindu Gods being insulted left right and center.. Then watch.. faltu..."
145,"This movie is such a torture.. Bollywood PR active and giving good ratings for their cheap movies ..
WORST MOVIE"
146,"Hateful content, casual bigotry towards hindu festivals completely unnecessary in the plot line yet feature with the sole purpose of spreading hate"
147,"Total disregard to sentiments of hindus. Abusing gods, showing gods beyond creative freedom acceptable levels and deliberate insults. Shame."
148,Movie starts by insulting Hindu sentiments. Yet another movie from award waapsi gang who try divide India on basis of religion.
149,The drug addicted bollywood actors & flim makers must be boycotted.
150,"If you enjoy making fun of hindu festival and Gods , then go ahead and watch."
151,"Editor has done worst job.
Cinematography is good."
152,"Its Very Bad movie
If there was Minus rating i would have given that.
All the High Ratings are either dumb or are paid.
The movie starts with a Vulgarity which is intended to be a joke which is pathetic.
Vulgarity and No Story with flop actors you get a failed Ludo game."
153,"Couldn't stand watch for more than 15 mins.. Super bore!
Don't waste your time and money on this."
154,Movie could have been better. they always make fun of hindu religion. another nepotism product of bollywood. sometime movie is very slow...
155,"Only one thing.....
Don't waste ur money on Bollywood.....U may thing in some movies they r taking self made actors....bt the real thing is that they r taking them so that the mafias can earn something in the name of these actors.......So don't waste UR money....."
156,"When it comes to acting Pankaj, Rajkumar are brilliant.Overall its an entertaining movie."
157,Highly disappointed. I would not recommend this to anyone and waste their valuable time.
158,Too boring !! Need more improvement when you have 1.3 billion population.Thanks.
159,This film is so insensitive to the beliefs of millions of Hindus across the globe. It mocks and riddicules Hindu beliefs and rituals. It is poorly made. In bad taste and there is no value in watching it.
160,"Pathetic movie with worst screenplay.
Wastage of time and data."
161,Not so interesting. dont want to waste money on this bollywood
162,Very bad pathetic movie......feel sad for RajKummar Rao. Abundance of talent can't choose a good script.....don't watch. U will be very disappointed.
163,"Time waste movie a poor tracks and unconvincing moments, the desired impact is not made. A marginal one time watch."
164,Very confusing. No central theme. It's a mash up of 4 stories which have no connection with each other and the stories randomly keep popping up without you actually coming to know what exactly is happening. Avoid this one and rather play ludo online. It will save your time and brain as well.
