,0
35,movie disturb various level teacher prove point organises competition nowhere teach student run casualy throw infront pack hunt dog latter us sound dog win competition spend mins show grit kid excel sport win dog bark aloud speaker thing objectionable teacher serve false court notice parent blackmail parent work whim fancy school make child something parent approve call movie dham dand bhed chanakya really ashamed type interpretation bring best underdog story never give even chip laywer father come call motivational story client fully convinced client lawyer represent actually murderer fight client wring lose cause even though whole village know outcome client try murder lawyer bit grit skill even though know lose cause manage acquit murderer underdog story clap hand
36,light movie good entertainment watch family hanky panky movie simple pleasant watch line simple offend one emotion good message teacher also
37,movie predictable lose first excel second skip beat fist clench win last game amaze parent want kid get think way become someone life perfect way say take road take
38,try prove movie okay work hard entire life live start act stupid real educate sportsguys match village idiot movie total cringe worthy portray exactly wrong euphemism nothing loser portray loser
39,average movie predictable end new concept
40,must unite production kind stupid movie
41,cast especially ajay devgan bad awful act
42,hai hype band karo saree aur rao matlab movie sorry neutral face pagal nahi cheesy dramatic unrealistic movie pretext movie meet type drama dikhao koi glamour achhe visuals hote hai romance anxious face sweat spare horror typical bakwaas movie hai
43,movie wrong many level promotes wrong thing
44,good thing movie rajkumaar else everything copyright make mistake watch movie see rating
45,motivational movie shud good dialogue one none average actor competition rajkumar rao well
46,bad storyline actor still much unrealistic story
47,masala outdated story poor story boring
48,wow moment movie character build well motive competition bogus
49,movie thing good market way become similar role novelty death milk cow last long drain expect like do mediocre work life watch movie make
50,start watch guess start movie money blame sure cringe every time see movie hour life never get back
51,average movie logicless script shukla rajkumar make laugh little worth watch hrs family film watch timepass recommend
52,actor waste top drama message movie specialise physical educate wrong job give village bum cook bad sign slavery waste slot hard earn money food take aways eat clean food home sport name gender equality woman live like man man idiot one
53,movie quite predictable still bind screen sure feel character well connect friendly lesson give life precious excellent work crew great head camera man producer director great shoot show movie
54,average story act surely give miss
55,watch topic good make well easily pas
56,actor like sarubh sukla satish kaushik actor rajkumar rao nushrat zeehsheen good good others department also good
57,give money bollywood use rajkumar karan party
58,mean nothing bad technically story act kind part nothing new story totally predictable nothing else feel meh end shrug end jubilation star tear meh
59,great movie good grow show vulgarity abusive language great movie one learn lot sir train life lesson father spirit teacher love movie improve mindset person every age group
60,movie lack depth plot character film quite predictable
61,laugh much mind blow movie keep engage base village theme good family movie
62,nice funny movie watch good storyline
63,piti kahani overact illogical clumsy screenplay boaring dialogue story turnes movie show work somewhat watchable main lead material
64,twist end typical end story surprise way story end many song film unwanted distraction
65,story much predictable say movie cheap version year movie slightly well
66,movie recommend story bit old type enjoy
67,rest star cast act brilliantly performance good story interesting climax good
68,story line like sport movie team lose magic happen win good message act do well cast
69,really beautiful movie comedy timing song really fascinate story lot
70,first great key actor though definitely underutilized like movie also light hearted family movie fact combine regular chore watch movie worry miss anything star rate first half second first part attempt add humour really make laugh completely passable bad though film completely falter half due unnecessary angle competition two pti teacher completely illogical shake head disbelief see saga past since go game want root team case obviously team feel sympathetic towards method train persuade parent cut ice movie complete letdown well avoid act good give pas treat time pas
71,like carecter do job good specially sir slap see remove girl pinky slap boy young neither girl nore boyes right slap writer remember
72,waste movie expressionless face write pathetic course act rajkumar rao awesome new
73,really hilarious family film humor kind predictable good watch family cast outstanding especially support cast
74,predictable screenplay good thing avoid park sceen hero heroine parent way bring continuity movie feel every school competitive spirit whatever game study good future generation
75,scene filmy derail decent plot enjoyable ride overall good one time family watch
76,family bollywood movie long time family bollywood movie long time
77,praise doubt act brilliantly movie equally well movie
78,old story rag tag kid become sport champ like presence movie definite disaster work get do kid exemplary delight watch despite character require movie like probably palate delight like always mere presence scene give assurance bore whether comedy drama must watch afternoon kind stuff regret
79,satish kaushik excellent job haryanvi accent get dull competition good movie
80,predictable film top humour try hard funny watch odd min well thing
81,movie try make certain social issue stand stand best movie far believe hansal mehta director scam also direct mediocre movie great expectation movie watch along family
82,element surprise whole movie style movie unnecessary song make sense good effort time watch maybe may skip movie well
83,uppercase feel one get watch director utna lowercase one feel watch admit bad like producer movie shallow characterisation roadside humour totally predictable half take one dialogue expression character change outlook probably movie title fantastic leap character take course movie may produce different background score movie sound walk theatre watch home
84,make team audience keep occupied work time
85,movie like go second open even see movie story full lackness delivery whatever script say short bad script bad casting direction
86,point story point support cast acting
87,half brilliant half lack show time watch
88,amazing movie watch family dialect amaze rao best literally adopt role pti actress do well role amaze make movie much well ancillary actor well assume much good
89,movie start well lose track midway female lead terrible little character development old unrealistic drama humorous scene make threadbare storyline believe film
90,dupper movie exxilent work like rajkumaar rao standard work
91,cute feel good movie perfect watch parent family member felt like drag place excellent act cast make feel like character development bit poor wrap nice movie definitely well medium spend time though
92,old story watch thousand movie unique performance actor
93,first movie despise vanilla story line somehow felt irritate something feminine acting style like trap rethink role delivery
94,sport movie year dialogues super act cast member enjoy
95,review significant departure serious cinema director light hearted rom com dash khel kood drama thrown plot especially second half quite predictable still make satisfactory festive weekend watch family keep expectation low cast earnest ever lead role resembles lot able match act skill support cast comprising sincere great bad film well two ott release spoil mood
96,start simple premise irresponsible pti daily routine life twist come find another wel train pti go instruct school kid com situation movie lead support ctors do job perfectly hummable song background score good especially sport sequence sport sequence direct properly little bit dramatic sometimes form right end teach competition take sportingly
97,movie set forth watch really high expectation always sincere actor even carry story movie share write credit know vibrance lively stories fails inspire keep wait something worthwhile happen something inspirational much becomes drag glad six two star one liner quirky laugh first half
98,movie predictable every single point good star cast meet expectation excellent okay story weak old otherwise make great movie also felt unreal sometimes good movie time pas expect great thing
99,good sensless movie story release corona story good acting
100,act good release full potential waste act talent great actor shukla plot strong climax simply predictable force accent irritate sometimes
101,cat act superb storyline direction poor
102,capture motivate drama let get bore throughout movie grin face must watch guy
103,rare story show true sportsman spirit accept opposition well teach self kid learn adapt competitive world
104,bro rajkumar thanks great movie great awesome love
105,good movie really good competitive movie
106,nice good movie watch good massage men woman
107,really entertaining movie love character movie
108,movie movie movie really good awesome watch
109,like together combination give authentic taste cinema recent everything masterpiece one long title unnecessary character teacher realise teacher nothing else mediocre film perform actor like yet pastime nothing extraordinary great felt ordinary best music decent score good game come go fast get drowned accent par film intend provide social message look like forcibl glass milk smooth gulp milkshake watch sake watch nothing else otherwise lagao bed couch nearby sleep
110,movie nice great act movie actor live character
111,movie watch story impressive command watch movie
112,time see full movie awesome super hit movie
113,recomend direction far good direct starring produce
114,show match inspiration toward sport watch happy
115,great show full kabbadi attitude must watch inspired
116,end lose storyline lone shin star treat watch
117,show chhalaang must watch show cantain nice
118,movie also movie comedy drama movie deserve best rating story movie reality movie base result side well student whose never play sport still get winner tag opinion well student winner entertainment movie deserve clap watch mehta do job perfectly
119,movie talented actor one best movie
120,watch movie really interesting specialy dialogue must watch
121,outstanding movie like movie base good story
122,great funny comedy ever experience whole life
123,concept simple story real movie movie camera best motivation family movie
124,predictable thwre nothing enjoy talented cast much expect
125,movie predictable weak term comedy average one time watch
126,really fun movie nice see sport movie dedicate school level
127,potration actually laugh silly jokes time pas
128,lose hope bollywood movie watch good simple story well execute predictable movie climax rather journey producer invest simple nonsense movie oppose regular overhyped bollywood movie
129,act sir adorable haryanavi accent hona theek hai ghatiya hone ghamand hona baat hai half predictable enjoybale good movie
130,real act rkr outsider good acting nepokids
131,day need light hearted peppy movie neatly woven simple movie
132,disaster movie give get rating rao movie fully waste time
133,first half movie funny second half movie inspirational
134,hearted movie fill comedy laughter message deliver movie make winner loser
135,movie sport many ture line movie sport person play sport
136,cast do grt job well assemble support cast uplifed thumb
137,like simplicity story varied emotion hinge storyline time watch
138,confuse directed great whose work also top notch technically brilliant feel time pas blow steam work stupendous kumar rao usual good utilize totally look place proper haryana base movie odd one entire cast average last song totally unnecessary believe let might pretty good story paper spoil director average school child characterization establish properly miss connect climax average time pas movie brilliant artist
139,appear movie screen presence feel like fast forwarding time screen absolutely average rao highlight movie along
140,awesome movie love nice character really nice movie fan love
141,regional language raw act humor yet mix cause make extremely entertaining movie rao keep spirit act show casing cause truly good actor
142,fine entertain movie base sport climax predictable way fabulous treat watch prove superb actor do good job get good dialogue way act looks good opposite do superb work cast decent perfect mixture light hearted comedy love every scene movie perfect watch
143,movie start usual story fact see trailer rather watch story trailer tell story
144,liked movie much contain nice comedy
145,feel act good act one feel like act script performance ever
146,really great movie high low along element humor fun
147,fifth time collaboration breezy entertainer average execution best especially keep mind excellent track record recent time delivers pastime distinctive style craft see several time outing like recent hit critically acclaim inordinately love audience result new project expectation usually sky high exceed confidence one take blame message indeed intent discernible underwhelming execution fail match idea similar level great writing every character surprise small role make impact technically well make competent work behind lens fit soundscore fairness flaws loophole script subdue quality gravitas irrefutable positive effect child laudable never set sport drama naive intention sole focus always underdog story journey ignorant fool sensible first half storyline lose charm begin slow unfortunate descent mediocrity
148,good family movie enjoy even love movie number good reason highlight plot interesting melodramatic moment enjoy age group audience relax interaction actor feel like commercial act cast outstanding entire team complement presence expression escalate mood movie atmosphere movie cozy relatable everyday life minus music course dialogue precise funny appropriate importantly delivery smooth rhe negative vibe negligible absent say enjoy song much background music scene vibrant
149,movie good nice story rajkumar rao act well
150,ott original feature film release time time hear name like point desi flavour tale inspiration sport comparable similar offering fight motivation story draw form real life name suggest movie deal genre sport inspiration hurt ego one man movie set story goof love jump literally midway change story underdog everyone respective favourite sport one heart surely go underdog movie set quintessential town love heros field sport proud want child successful character say parent want support child like idol naukri chhokri boy prepared youth girl study even upto mofussil town break news prepare chula chowka law house support child marry daughter law really big heart thing change ever slowly sport also give career professional set due various league football kabaddi badminton etc apart cricket religion teem billion encouragement support financial aid need hour story courage never say die spirit never give face extreme adversity little hope encouragement box think perseverance come top usp film second half first half dedicate insensitive ambition less instructor whose main job avoid work loaf around passion arouse face challenge job love superior individual story change tale inspiration unique touch make forget start romantic flick splendidly turn around also person helm sensitive social like late offer web series stream liv ott platform besides one definite shift subject whereas past film deal social issue late offering stable mainstream commercial cinema touch definitely still performances expectedly great seasoned actor like noticeable suit guy let either give superlative performance movie look every bit movie character surprise packet come lately try take job love whiskey sip go girl head firmly place perform suitably role look dainty veteran make presence felt dialogue behavior small town character capture subtle finnasse scene like fight vegetable market sport ground one friend eatery tease cook profession kind banter hear place small thing matter second movie many day heroine asks hero daru pilayega equation seem change food think horse male http filmytown com movie chhalaang movie review
151,leap faith take faced adverse condition never give always come next attempt overcome challenge come simple plot set feel good movie make work limited number lead character around story revolves clarity character look credible fairly simple movie flow like breeze good watch miss
152,predictable movie sport theme obvious drama old preaching nazariya badlo nazare badlenge do fab job able get hold accent entire movie seem struggle get hold accent effort evident commendable support cast amazing pro actor hardly ever wrong matter role mum character many scene typical mother impeccable performance quite underutilized talent good actor significant role totally miss second half humor average though scenes dog bark finale facepalm moment hope get see inspiring movie without continuous preach need deliver subtle way reach heart movie cliche far awesome
153,movie good watch story good learn professional behavior even lose
154,come watch movie feel embarrass see people rate average movie watcher mind brainwash pay money waste time see trash movie spout nepotism industry message movie subtle rkr movie unfortunately fly right past average viewer evident rating review movie cheesy unrealistic predictable serious grave movie social message many watch movie touch many social issue light hearted manner almost escape part moral police begin later subtle manner showcased wrong movie important many hidden dialogue cliche rag tag team make something alllll movie far original entertainer happy see none brain dead movie produce act rather watch anyday even average story
155,story maybe come type story line give time use real life forget maybe deep breath ready take big rao helpful student long break school college life boost ss ss answer see movie
156,thing first movie storyline kind movie release theater well nation watch mostly sensitive part nation thing wrong girl sport love storyline familywalimovie short timeline however story message clear way love movie
157,idea people rat highly fun watch absolutely brilliant performance enjoy change school set real refresh like soty school kid relatable fact school different school show movie brilliand also do great job highly recommend movie
158,actor actress perform role well story average dialouges good movie watch
159,film set rural town central theme grow semi urban school identify rustic charm around school sport event
160,avoid story line non existent act way overdone much comedy either unless stupid thing
161,story worth waste precious hour typical bollywood story without logic bear watch without continuous forwarding
162,like movie rajkumar rao actor fabulous act every movie movie also best many month like movie
163,tolerable annoy even put decent comparison level act actor poor story slow tempo average direction uninteresting depiction overall watching movie feel waste time make sake released time hope people watch anything day
164,expect script much great depth combo bring surprisingly light hearted watch disappoints predictable almost cliched storyline movie try win important message fail deliver conviction whatsoever impress either acting performance
165,movie travel ignorance knowledge nothing everything motivational movie give hop lose people also teach tackle difficult situation life
166,movie watch family obscenity gaali movie need heroine like ketchup pizza miss question stand tall stool whole movie dark circle video edit exist movie
167,new excite movie see plots numerous time save grace flawless performace entire star cast movie make feel good time pas factor time watch
168,cast movie act punch time great movie little predictable watch movie entertainment guarantee never get bore many moment true laughter brilliant always
169,plot usual expect line crisp direction edit movie keep audience captivate glue movie excellent actor find fresh face overshadow many time family story nicely word message conclusion slight non family promo song end must watch
170,one favourite actor mine movie help show talent capable even star
171,potential script direction weak act round intense
172,prove wrong produce good movie anymore movie enjoy entire family must watch
173,drink together along girlfriend rural village sense direction scene every evening practing scotch along parent movie fit exactly behuda harqat karna baat hai behuda harqat proud alag level hai think make scene direction
174,movie story amazing nice give life overall movie
175,story bad act even like name film want give star
176,fun excellent dialogue simple story weave beautiful screenplay memeber cast contribute fun journey
177,novelty script screenplay try pull last min fail
178,first half movie good half movie feel
179,get engross progress research script good direction philosophy match till last ball bowl movie worth watch show calibre connect well make movie double thumb
180,typical bollywood masala movie worthy time let film lower benchmark set
181,similar movie already make topic performance wise brilliant
182,movie climax predictable look pretty light comedy perfect family type movie always good
183,realistic rather repeat old story predictable every one know happy end
184,every second film amaze act one
185,want weekend bad movie ever watch
186,good movie favourite movie thanks make movie
187,good movie thanks movie watch movie favourite
188,movie great message brilliant performance best movie watch family smile always brilliant performance cast also brilliant good watch
189,good comedy film nice sense humour rao act barucha owesome also playeda good role love movie
190,though second part little predictable even movie full emotion like watch ahead
191,prove ability actor one serious comedy like
192,movie certain point improvement like situation realistic second half competition part little short less predictable overall movie great treat eye nice end also superb performance everyone include kid
193,good first half second half mostly base competition need describe team already aware start know win worth try win message want convey stream like sport
194,rao saurabh sir do great job barucha good hold role justify character really involvement trainning session give watch something new must watch give try expect much
195,movie good comedy sences social message specially second half really enjoy entertainment
196,feel teach time pas specifically good study also skill
197,really motivational good watch generation rao best
198,know happen last kind film watch know happen fun film watch comedy maybe good movie also sport become good movie movie engage mainly half sport technique execute well movie full good actor everyone act well also teach sport important part childhood last like also leave smile face
199,predictable sport movie need film feel deserve good role movie pyaar great movie movie good entertainer well
200,hilarious comedy lot subtle joke make excite story new act movie sincere great job need movie rkr next super star
201,movie family watch time well ludo
202,good movie really happy movie thanks provide movie
203,good movie watch family enjoy best part talented actor sure future srk
204,set improper example young generation deter think process strive anything good great life good either inspirational
205,block blaster movie act ever rajkumar good acter
206,movie standard big waste money time tooo bore ugly characterization plot
207,collaboration force reckon give great film like fifth collaboration mark follow teacher lazy job day senior teacher arrive clash lead sport competition decide get keep job really like previous work together time decide something mainstream accessible end product one ordinary unoriginal film year film terribly bad per nothing special memorable like previous film feel like film movie feel grounded reality event take place film feel realistic sport competition something see countless time riddle clichés expect excite new predictable film well authenticity accent location help make state feel real act pretty good great usual great scene drink night way delivers dialogue really well do well felt strange see character wear high heel throughout movie provide couple laugh pretty good well predictable forgettable new creative do kind story nothing stand particular another basic sport drama
208,drama else new promise watch money make industry else ghisa pita kahani slight twist lose talent decade
209,usual old predictable plot performance praiseworthy
210,movie start well keep engross suddenly go downwards look post teacher try convince parent lame competition scene look jaded movie show much promise lose steam midway remote nearby use skip second half torture
211,total family entertainer smile face heart eye total diwali gift ott film release worth watch thumb
212,bit overdramatic overall good movie act
213,half movie ish second half utterly boring waste time movie
214,half superb second half stretch feel connection character show story seem shaky get point movie star everyone act
215,strory simple interesting good humour part film watch amd enjoy whole family nothing new still screenplay much interesting keep seat till film get revolve mostly around teacher played life change sport drama film compare chhichhore still film unique way performance soul film give powerful performance prove act skill deserve recognisation make laugh whenever come look damn pretty support cast especially child do great job direction good yet present good movie section society strong message decent personally like karda teri choriyaan song predict easily wil happen next part movie also sport drama present good way flaw let aside overall film deserve watch family level sir
216,many scene say appear cinematic movie awesome extra cinematic part like always great act skill extra ordinary either movie everywhere movie actos awesome mind blow play character smoothly ease support cast next level say
217,rural story protagonist play happy lucky person movie revolve around win show worth effort waste time money bag avoidable
218,rao dil hain aur kitna bar jitoge love movie great act rajkumar rao act remind stree movie movie convey great message
219,jgah iska naam oot patang hona chahye tha old story sport base movie new name poorly execute
220,movie rajkumar rao good pti character hand
221,whole script superb important thing movie give important message fight till movie cast act well
222,much violence film also make film look realistic raw
223,life rural area well depict make one feel home unaware fact reveal
224,scene well perform portrayed look film brings authenticity
225,work outstanding get best entire cast
226,main two lead actor contribute equally make film success
227,intense atmosphere flim something keep watch film
228,film quite realistic raw great credit give director
229,suit role well justice love natural look
230,look body language dialogue delivery screen play everything perfection young actor
231,main lead rao good find do good job mass role impress throughout
232,music good making audience involve narration excellence
233,start make wonder story bury breathtaking mystery amazes
234,movie various version boldness depict delivered ease
235,character tale seem super important great twist buy everyone
236,background music almost make one belive character real
237,nice new come see rajkumar rao great always costars like saurabh shukla satish kaushik nushrat bharucha also give best
238,seem film promise adventure viewer crime thriller concept really good
239,scene movie leave great impact leave think long movie
240,product new packet sometimes need era bollywood push propoganda movie name creativity one good feel good motivating movie bound break stereotype act satish kaushik sourabh shukla jee new storyline good funny liner accent good clean movie
241,scene movie leave great impact leave think long movie
242,watch something really nice long time take eye minute cheap comedy insult religion cheap trick publicity controversy story top class act perfect message student parent review imdb movie deserves praise super hit
243,story surface seem bit hard believe quite indulging get
244,good pack anger drama love hate give goosebump
245,think power real cinema hit emotion
246,tale two lover rather lovy dovy one ride emotional roller coaster
247,movie take back time old golden village sort people live around
248,happy see great bunch actor like play great secondary cast
249,set background environment everything contribute make movie realistic
250,happy see great bunch actor like play great secondary cast
251,happy see great bunch actor like play great secondary cast
252,come rao rock film act skill point
253,omg since watch trailer eagerly wait one finally watch
254,prefer watch film love drama action crime thriller base film one
255,think watch film share support amazingly talented actor
256,become matured watch interest high level film job
257,watch film much fun watch get goosebumps end
258,become matured watch interest high level film job
259,film turn emotional roller coaster ride scene seem amazing
260,storyline film point even less perfect job team
261,think movie drive million crazy creative innovative concept
262,find film quite interest everything perfect viewer expect
263,movie raw macabre look hold strong plotline
264,storyline film point even less perfect
265,excite share film friend watch together interest
266,film whole different perspective think intensive authentic enough watch
267,film rare gem think definitely recommend everyone watch
268,best thing like movie dirt movie abusive language sex embarrass idiotic scene dialogue movie soothe portrayal importance sport sportsmanship able stop say really good movie
269,many mistake unconvincing character development hardcore traditionalist make total turn one meeting girl flaw love story anyone fall love quickly someone publicly insult parent get job easy one organize interschool sport meet winner get appoint easy safe way get athlete motivate intentionally let get chased dog hero father threaten student parent let play tournament teacher even right ethically one time watch masala feel good movie use brain much
270,movie good act good message give rajkumaar rao zeeshan superb
271,do amaze act star entertainment family nice script screenplay well do
272,thing mention movie definitely delivers even performance everyone incredible funny journey character fight nvr give make super amaze know win loos recommend watch majority people love
273,simple movie delivers powerful message entertaining way talk important issue convey message delightful way without preach keep hook till end bore moment write direction see write something beautiful instead usual com movie like punchnama titu sweety capable write good female role different genre ace social comedy top notch everyone include kid one best actor generation prove one help root goofy teacher whatever muse amaze job natural actor deserves good role like share amaze chemistry delightful watch two self make actor good movie cast top notch single bad casting lot thing movie undoubtedly kid do superb job every one balance girl boys character stand personally girl little storyline perfect family entertainer give message teacher student importantly parent
274,say long time masterpiece story line nice message society nice song overall full package
275,comedy movie strong message great cast write comedy timing actor
276,best bollywood movie mean great storyline enjoyable movie must watch sure
277,long time laugh much watch bollywood movie act every cast member
278,diwali gift form team form even think watch diwali surely destroy festive mood
279,never quit anything fight till death
280,best movie nudity abuse language use
281,hilarious comedy movie surely must watch start end stop laugh
282,constitute one cinema potent artistic collaboration film blister probe portrait state world attempt something mainstream tell uplift story teacher small town find purpose life coach weak kid school win team suspect conventional narrative go dna tear hair awful ordinary read full article film companion
283,good watch cut one scene later film think scene unnecessarly drag easily chop good watch strong act good command dielect
284,fabulous combination fun inspiration entertainment capability always remind powerful story stalwart performance cast always quintessence shout indelible performance every movie must watch
285,enjoy watch movie family smile face heart eye song movie also good
286,love watch movie entertain movie actor act nicely
287,best sport movie dare change mind
288,must watch movie film track family entertain movie smile face heart eye
289,useful service user best service nic
290,movie must watch movie love watch story base nice theme till end make feel little bore really enjoy smile face heart eye
291,time waste wait eagerly movie turn disaster decade idea director try achieve storyline expect
292,poor accent way use dialogue also poor see wed like movie nowhere stand nearm
293,act actor avg shocked see ask pilaoge every minute liquor scene father serve drinkliquor friend drink serve liquor
294,movie time good song humour punch line suspense
295,movie promote creepy stalk felt cringe guy
296,lucky release high expectation trailer clearly say nothing new old traditional bollywood stuff fall love heroine third guy enters emerge story hero feel jealous challenge defeat close match predictable typical formula far outdated today time sport issue deal manage deal issue different argument altogether yes outdated predictable manner may formulatic drama wrong make watchlist definitely watch diwali story lazy ambitionless coach aka fall love computer teacher first introduction spoil dreams try convince apology local heroic trick guy enters emerge love story decides take coach make small challenge look like national war know win end never ever look like try something new even bother put new technique love story bother something screenplay look rough right first frame till last one somehow manages make average flick help performance postive outcome brilliant actor see take tough challenge character lightweighted accord standard deserve well tougher roles suit potential ordinary look gorgeous handle local accent beautifully also get underwhelming role play like easy daily life course walk sleep cast fine remain unnoticed weak writing stand chance come good film falter paper write directorial effort make look even weak execution almost every aspect kill potential decent story somehow save far film make audience keep say old school book need think box least try something new get nothing new offer still average watchable flick nothing else watch people show much interest see another frivolous short jump make filmmaker hence might come something new next time hard believe creative mind like come something like one expect something innovative hard hitting rating
297,support movie call druggystars anymore like feel respect also
298,story line teacher least interested perform duty show hero movie turn fortune within month good coach show loser portrayed negatively inspiration one draw pathetic movie illogical movie frank
299,good due pathetic acting may say overact actor zeeshan movie become pathetic watch something else
300,fabulous extraordinary performance rao beautiful dear sir love sir sir nicee performance dialogue screenplay good
301,base nice subject seem rise expectation stereotypical story film contain anything new try hold audience attention throughout film even good act performance deny fact avg storyline fairly average job one keep eye away actor one really try keep film humour go stand high term act film perform well first half total romance buildup second half seem quite fast lot thing happen important part end seem know come make film average one time watch
302,average script kumar use put creativity really think well script
303,narrative play much well like great sport film rao usual good also rest dramatic even storyline many point felt copied many sport film
304,movie superb actor deliver always pleasure watch good actor one frame kid surprise element act equally well moment make laugh smile act direction movie let predictable weak storyline still big let film effort put script story
305,movie launch date laxmmi movie watch movie want tell one thing kumar time come pack bag make room talented actor actor director chhalang
306,steal show word take proceeding forward well support cast perfect special mention expression enough time movie proceeds well till reach finale sport sequence right easy succeed keep audience interested director fail match thrill enough even climax big let especially since movie keep engage mention background score cinematography time pas movie last minute movie quite entertaining
307,romantic heart love love movie two time like first time love second time
